uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value
parser/mycode/model_sklearn.py:log,log,function,4,16,10,118,7.38,0,2,['*s'],[None],[None]
parser/mycode/model_sklearn.py:log2,log2,function,2,6,6,35,5.83,0,1,['*s'],[None],[None]
parser/mycode/model_sklearn.py:log3,log3,function,2,6,6,35,5.83,0,1,['*s'],[None],[None]
parser/mycode/model_sklearn.py:init,init,function,4,8,8,58,7.25,0,0,"['*kw', '**kwargs']","[None, None]","[None, None]"
parser/mycode/model_sklearn.py:reset,reset,function,3,7,6,43,6.14,0,0,[],[],[]
parser/mycode/model_sklearn.py:model_automl,model_automl,function,7,32,26,367,11.47,0,0,[],[],[]
parser/mycode/model_sklearn.py:fit,fit,function,12,33,29,365,11.06,1,1,"['data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None]","['None', 'None', 'None', None]"
parser/mycode/model_sklearn.py:predict,predict,function,15,43,36,448,10.42,0,3,"['Xpred', 'data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None, None]","['None', '{}', '{}', '{}', None]"
parser/mycode/model_sklearn.py:save,save,function,8,26,22,299,11.5,0,0,"['path', 'info']","[None, None]","['None', 'None']"
parser/mycode/model_sklearn.py:load_model,load_model,function,16,26,24,258,9.92,0,0,['path'],[None],"['""""']"
parser/mycode/model_sklearn.py:load_info,load_info,function,13,25,23,172,6.88,1,1,['path'],[None],"['""""']"
parser/mycode/model_sklearn.py:get_dataset_split_for_model_pandastuple,get_dataset_split_for_model_pandastuple,function,22,69,53,627,9.09,1,3,"['Xtrain', 'ytrain', 'data_pars', '']","[None, None, None, None]","[None, 'None', 'None', None]"
parser/mycode/model_sklearn.py:get_dataset2,get_dataset2,function,2,12,12,58,4.83,0,0,"['data_pars', 'task_type', '**kw']","[None, None, None]","['None', '""train""', None]"
parser/mycode/model_sklearn.py:get_dataset,get_dataset,function,41,202,129,1894,9.38,1,11,"['Xtrain', 'ytrain', 'data_pars', '']","[None, None, None, None]","[None, 'None', 'None', None]"
parser/mycode/model_sklearn.py:get_params_sklearn,get_params_sklearn,function,2,2,2,39,19.5,0,0,['deep'],[None],['False']
parser/mycode/model_sklearn.py:get_params,get_params,function,15,34,30,377,11.09,0,1,['deep'],[None],['False']
parser/mycode/model_sklearn.py:test,test,function,35,232,163,2289,9.87,1,0,['n_sample          '],[None],[' 1000']
parser/mycode/model_sklearn.py:get_dataset_split_for_model,get_dataset_split_for_model,function,22,69,53,627,9.09,1,3,"['Xtrain', 'ytrain', 'data_pars', '']","[None, None, None, None]","[None, 'None', 'None', None]"
parser/mycode/model_sklearn.py:zz_eval,zz_eval,function,7,7,7,34,4.86,0,0,"['data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None]","['None', 'None', 'None', None]"
parser/mycode/model_sklearn.py:zz_preprocess,zz_preprocess,function,21,68,38,740,10.88,0,2,['prepro_pars'],[None],[None]
parser/mycode/model_sklearn.py:Model,Model,class,14,32,29,393,12.28,0,2,[],[],[]
parser/mycode/model_sklearn.py:Model:__init__,Model:__init__,method,13,26,23,324,12.46,0,2,"['self', 'model_pars', 'data_pars', 'compute_pars']","[None, None, None, None]","[None, 'None', 'None', 'None']"
